district;Apartamento;Casa;Casa em condomínio;Studio e kitnet
Conjunto Habitacional Padre Manoel da Nóbrega;2.0;0.0;0.0;0.0
Conjunto Habitacional Teotonio Vilela;1.0;2.0;0.0;0.0
Conjunto Promorar Sapopemba;1.0;0.0;0.0;0.0
Conjunto Residencial Butantã;1.0;1.0;0.0;0.0
Conjunto Residencial Jardim Canaã;0.0;4.0;0.0;0.0
Conjunto Residencial José Bonifácio;3.0;2.0;0.0;0.0
Conjunto Residencial Vista Verde;1.0;1.0;0.0;0.0
Consolação;110.0;0.0;0.0;45.0
Continental;5.0;0.0;0.0;0.0
Cupecê;0.0;1.0;0.0;0.0
Cursino;2.0;3.0;2.0;0.0
Empresarial 18 do Forte;15.0;0.0;0.0;1.0
Engenheiro Goulart;3.0;2.0;0.0;0.0
Ermelino Matarazzo;1.0;1.0;0.0;0.0
Fazenda Aricanduva;1.0;0.0;0.0;0.0
Fazenda Morumbi;16.0;0.0;0.0;0.0
Fazenda Morumbi ;1.0;0.0;0.0;0.0
Ferreira;1.0;5.0;0.0;0.0
Freguesia do Ó;10.0;5.0;2.0;1.0
Freguesia do Ó ;0.0;0.0;1.0;0.0
Fundação;0.0;1.0;0.0;0.0
Gopouva;1.0;1.0;0.0;0.0
Gopoúva;7.0;1.0;0.0;0.0
Guaianazes;1.0;0.0;0.0;0.0
Guaiaúna;2.0;1.0;0.0;0.0
Guapira;2.0;0.0;0.0;0.0
Helena Maria;0.0;1.0;0.0;0.0
Higienópolis;8.0;4.0;0.0;1.0
Higienópolis ;1.0;0.0;0.0;0.0
Horto Florestal;0.0;1.0;0.0;0.0
I.a.p.i.;1.0;0.0;0.0;0.0
Imirim;11.0;10.0;0.0;0.0
Indianópolis;56.0;4.0;0.0;19.0
Industrial Autonomistas;1.0;0.0;0.0;0.0
Instituto de Previdencia;1.0;1.0;0.0;0.0
Instituto de Previdência;4.0;0.0;0.0;0.0
Interlagos;5.0;14.0;0.0;0.0
Ipiranga;50.0;21.0;2.0;3.0
Itaberaba;3.0;3.0;0.0;0.0
Itaim Bibi;42.0;1.0;0.0;8.0
Itaquaciara;1.0;0.0;0.0;0.0
Itaquera;11.0;2.0;0.0;0.0
Jabaquara;21.0;29.0;3.0;2.0
Jaguaribe;13.0;0.0;0.0;0.0
Jaguará;1.0;1.0;0.0;0.0
Jaguaré;23.0;5.0;0.0;0.0
Jaraguá;2.0;1.0;3.0;0.0
Jardim;7.0;1.0;0.0;0.0
Jardim Adhemar de Barros;1.0;0.0;0.0;0.0
Jardim Adriana;1.0;0.0;2.0;0.0
Jardim Adutora;2.0;0.0;0.0;0.0
Jardim Aeroporto;12.0;14.0;0.0;3.0
Jardim Agu;0.0;1.0;0.0;0.0
Jardim Aida;1.0;1.0;0.0;0.0
Jardim Alfredo;0.0;0.0;0.0;1.0
Jardim Almanara;2.0;1.0;0.0;0.0
Jardim Almeida Prado;0.0;3.0;0.0;0.0
Jardim Alvorada (zona Oeste);2.0;1.0;0.0;0.0
Jardim Alzira;1.0;3.0;0.0;0.0
Jardim Amaralina;1.0;0.0;0.0;0.0
Jardim America;2.0;0.0;0.0;0.0
Jardim America da Penha;1.0;0.0;0.0;0.0
Jardim Ampliacao;7.0;0.0;0.0;1.0
Jardim Ampliação;19.0;0.0;0.0;7.0
Jardim América;2.0;0.0;0.0;0.0
Jardim América da Penha;9.0;0.0;0.0;0.0
Jardim Ana Lúcia;1.0;0.0;0.0;0.0
Jardim Ana Rosa;0.0;2.0;0.0;0.0
Jardim Analia Franco;0.0;1.0;0.0;0.0
Jardim Andarai;1.0;0.0;0.0;0.0
Jardim Andaraí;1.0;0.0;0.0;0.0
Jardim Angela (zona Leste);2.0;0.0;0.0;0.0
Jardim Anny;1.0;0.0;0.0;0.0
Jardim Antartica;2.0;0.0;0.0;0.0
Jardim Antártica;1.0;0.0;0.0;0.0
Jardim Anália Franco;7.0;4.0;0.0;0.0
Jardim Aricanduva;0.0;3.0;0.0;0.0
Jardim Arize;3.0;2.0;0.0;0.0
Jardim Arizona;0.0;1.0;0.0;0.0
Jardim Arpoador;1.0;1.0;0.0;0.0
Jardim Ataliba Leonel;0.0;2.0;0.0;0.0
Jardim Aurelia;0.0;0.0;0.0;2.0
Jardim Avelino;3.0;1.0;0.0;0.0
Jardim Bandeirantes (zona Norte);0.0;1.0;0.0;0.0
Jardim Barbosa;5.0;0.0;0.0;0.0
Jardim Baruch;1.0;0.0;0.0;0.0
Jardim Barueri;1.0;0.0;0.0;0.0
Jardim Bela Vista;5.0;2.0;0.0;0.0
Jardim Belém;1.0;0.0;0.0;0.0
Jardim Boa Vista (zona Oeste);3.0;0.0;0.0;1.0
Jardim Bom Clima;1.0;2.0;0.0;0.0
Jardim Bonfiglioli;5.0;10.0;0.0;2.0
Jardim Botucatu;2.0;0.0;0.0;0.0
Jardim Brasil;3.0;0.0;0.0;0.0
Jardim Brasil (zona Norte);5.0;7.0;1.0;0.0
Jardim Brasil (zona Sul);13.0;1.0;0.0;1.0
Jardim Brasília (zona Leste);2.0;0.0;0.0;0.0
Jardim Brasília (zona Norte);12.0;0.0;0.0;0.0
Jardim Bélgica;0.0;1.0;0.0;0.0
Jardim Caboré;10.0;0.0;0.0;0.0
Jardim Cachoeira;0.0;3.0;0.0;0.0
Jardim Campanario;2.0;0.0;0.0;0.0
Jardim Campo Grande;2.0;3.0;1.0;0.0
Jardim Caner;2.0;0.0;0.0;0.0
Jardim Canhema;1.0;0.0;0.0;0.0
Jardim Caravelas;11.0;1.0;0.0;0.0
Jardim Carlu;0.0;2.0;0.0;0.0
Jardim Casablanca;4.0;2.0;0.0;1.0
Jardim Castelo;3.0;0.0;0.0;0.0
Jardim Catanduva;2.0;0.0;0.0;0.0
Jardim Celeste;17.0;0.0;0.0;0.0
Jardim Centenario;2.0;0.0;0.0;0.0
Jardim Centenário;1.0;1.0;0.0;0.0
Jardim Cidade Pirituba;1.0;9.0;0.0;1.0
Jardim Cidalia;2.0;0.0;0.0;1.0
Jardim Cidália;2.0;5.0;0.0;1.0
Jardim Cirino;1.0;0.0;0.0;0.0
Jardim City;4.0;1.0;0.0;0.0
Jardim Clímax;0.0;2.0;1.0;0.0
Jardim Cocaia;1.0;1.0;0.0;0.0
Jardim Colombo;3.0;8.0;2.0;0.0
Jardim Colorado;1.0;0.0;0.0;0.0
Jardim Consorcio;0.0;4.0;0.0;0.0
Jardim Consórcio;1.0;5.0;1.0;0.0
Jardim Cordeiro;0.0;1.0;0.0;0.0
Jardim Cotiana;0.0;1.0;0.0;0.0
Jardim Cristal;0.0;2.0;0.0;0.0
Jardim Cristin Alice;1.0;0.0;0.0;0.0
Jardim Danfer;1.0;3.0;0.0;0.0
Jardim Denise;0.0;1.0;0.0;0.0
Jardim Dinorah;0.0;1.0;0.0;0.0
Jardim Divinolandia;0.0;1.0;0.0;0.0
Jardim Dom Bosco;1.0;1.0;0.0;0.0
Jardim Dona Sinha;0.0;1.0;0.0;0.0
Jardim Dona Sinhá;3.0;0.0;0.0;0.0
Jardim Dourado;2.0;0.0;0.0;0.0
Jardim Dracena;0.0;1.0;0.0;0.0
Jardim D’abril;4.0;1.0;0.0;0.0
Jardim Elvira;0.0;1.0;0.0;0.0
Jardim Ernestina;0.0;1.0;0.0;0.0
Jardim Esmeralda;6.0;2.0;0.0;1.0
Jardim Ester;9.0;7.0;0.0;0.0
Jardim Ester Yolanda;5.0;5.0;0.0;0.0
Jardim Europa;4.0;1.0;0.0;1.0
Jardim Felicidade (zona Oeste);0.0;2.0;0.0;0.0
