district;Apartamento;Casa;Casa em condomínio;Studio e kitnet
Jardim das Vertentes;8.0;8.0;0.0;2.0
Jardim de Lorenzo;0.0;2.0;0.0;0.0
Jardim do Carmo;0.0;0.0;1.0;0.0
Jardim do Colégio (zona Norte);0.0;1.0;0.0;0.0
Jardim do Mar;0.0;0.0;0.0;1.0
Jardim do Papai;0.0;3.0;0.0;0.0
Jardim do Tiro;1.0;1.0;1.0;1.0
Jardim dos Camargos;0.0;2.0;0.0;0.0
Jardim dos Estados;0.0;2.0;0.0;0.0
Jardim dos Lagos;0.0;2.0;0.0;0.0
Jardim dos Prados;0.0;1.0;0.0;0.0
Jardim Ângela (zona Leste);3.0;2.0;0.0;0.0
Jardim Íris;7.0;0.0;0.0;0.0
Jardins;1.0;0.0;0.0;0.0
Jaçanã;1.0;3.0;0.0;0.0
Jd Tranquilidade ;1.0;0.0;0.0;0.0
Jd. Rio Pequeno;1.0;0.0;0.0;2.0
Jordanópolis;1.0;0.0;0.0;0.0
Jurubatuba;7.0;1.0;0.0;0.0
Km 18;4.0;2.0;0.0;1.0
Lajeado;2.0;0.0;0.0;0.0
Lapa;22.0;12.0;0.0;1.0
Lapa de Baixo;0.0;4.0;0.0;1.0
Lar São Paulo;0.0;2.0;0.0;0.0
Lauzane Paulista;21.0;14.0;1.0;1.0
Liberdade;86.0;2.0;0.0;52.0
Limão;12.0;4.0;1.0;1.0
Loteamento City Jaragua;4.0;0.0;0.0;0.0
Luz;5.0;0.0;0.0;2.0
Macedo;4.0;2.0;0.0;2.0
Mandaqui;2.0;2.0;1.0;1.0
Maranhão;3.0;1.0;0.0;1.0
Mauá;3.0;2.0;0.0;0.0
Melville Empresarial I E Ii;3.0;0.0;0.0;0.0
Melville Empresarial Ii;4.0;0.0;0.0;0.0
Mirandópolis;25.0;4.0;0.0;8.0
Moema;24.0;1.0;0.0;5.0
Moinho Velho;5.0;7.0;0.0;0.0
Mooca;108.0;26.0;0.0;13.0
Morro dos Ingleses;2.0;0.0;0.0;0.0
Morumbi;16.0;2.0;1.0;0.0
Morumbi ;1.0;1.0;0.0;0.0
Mutinga;0.0;1.0;0.0;0.0
Nossa Senhora do O;1.0;1.0;0.0;0.0
Nossa Senhora do Ó;10.0;1.0;0.0;0.0
Nova Aldeinha;0.0;1.0;0.0;0.0
Nova Gerti;0.0;2.0;0.0;0.0
Nova Gerty;1.0;0.0;0.0;1.0
Nova Piraju;7.0;2.0;0.0;3.0
Novo Osasco;4.0;5.0;1.0;0.0
Olímpico;5.0;0.0;0.0;0.0
Osvaldo Cruz;5.0;2.0;0.0;0.0
Pacaembu;0.0;5.0;0.0;0.0
Pacaembu.;1.0;0.0;0.0;0.0
Padroeira;11.0;6.0;0.0;0.0
Panamby;5.0;0.0;0.0;2.0
Parada Inglesa;18.0;4.0;0.0;0.0
Parada Xv de Novembro;2.0;0.0;0.0;0.0
Paraisópolis;11.0;1.0;0.0;0.0
Paraíso;72.0;5.0;0.0;12.0
Paraíso do Morumbi;20.0;2.0;0.0;2.0
Paraíso.;1.0;0.0;0.0;0.0
Pari;5.0;1.0;0.0;0.0
Parque Alves de Lima;1.0;0.0;0.0;0.0
Parque Arariba;1.0;0.0;0.0;0.0
Parque Artur Alvim;0.0;1.0;0.0;0.0
Parque Assunção;4.0;2.0;1.0;0.0
Parque Bairro Morumbi;5.0;0.0;0.0;0.0
Parque Boturussu;1.0;1.0;0.0;0.0
Parque Bristol;4.0;0.0;0.0;0.0
Parque Casa de Pedra;0.0;2.0;2.0;0.0
Parque Cecap;1.0;0.0;0.0;0.0
Parque Cisper;0.0;1.0;0.0;0.0
Parque Colonial;2.0;3.0;0.0;0.0
Parque Continental;0.0;3.0;0.0;0.0
Parque Continental I;2.0;1.0;0.0;0.0
Parque Continental Ii;3.0;7.0;0.0;0.0
Parque Cruzeiro do Sul;1.0;0.0;0.0;0.0
Parque Cruzeiro do Sul (vila Formosa);1.0;0.0;0.0;0.0
Parque Edu Chaves;1.0;6.0;1.0;1.0
Parque Esmeralda;2.0;0.0;0.0;0.0
Parque Fongaro;4.0;1.0;0.0;2.0
Parque Fongaro ;1.0;0.0;0.0;0.0
Parque Guarani;0.0;2.0;0.0;1.0
Parque Imperial;6.0;2.0;0.0;2.0
Parque Independencia;0.0;1.0;0.0;0.0
Parque Industrial Tomas Edson;10.0;0.0;0.0;1.0
Parque Ipe;1.0;0.0;0.0;0.0
Parque Ipê;1.0;0.0;0.0;0.0
Parque Itaberaba;0.0;1.0;0.0;0.0
Parque Jabaquara;7.0;24.0;0.0;0.0
Parque João Ramalho;2.0;0.0;0.0;0.0
Parque Mandaqui;12.0;7.0;0.0;0.0
Parque Mandi;0.0;1.0;0.0;0.0
Parque Maria Domitila;2.0;3.0;0.0;0.0
Parque Maria Luiza;1.0;4.0;0.0;1.0
Parque Monte Alegre;0.0;1.0;3.0;0.0
Parque Monteiro Soares;1.0;3.0;0.0;0.0
Parque Munhoz;1.0;0.0;0.0;0.0
Parque Nações Unidas;1.0;0.0;0.0;0.0
Parque Novo Mundo;5.0;2.0;0.0;1.0
Parque Oratorio;1.0;0.0;0.0;0.0
Parque Oratório;1.0;1.0;0.0;1.0
Parque Paineiras;5.0;0.0;0.0;0.0
Parque Panamericano;1.0;1.0;0.0;0.0
Parque Penha;0.0;1.0;0.0;0.0
Parque Peruche;5.0;9.0;1.0;0.0
Parque Ramos Freitas;0.0;3.0;0.0;0.0
Parque Reboucas;17.0;1.0;0.0;0.0
Parque Regina;0.0;1.0;0.0;0.0
Parque Renato Maia;0.0;1.0;0.0;0.0
Parque Residencial Julia;1.0;1.0;0.0;0.0
Parque Residencial da Lapa;2.0;1.0;0.0;0.0
Parque Santa Luzia;0.0;1.0;0.0;0.0
Parque Santa Madalena;0.0;2.0;0.0;0.0
Parque Santo Antônio;0.0;2.0;0.0;0.0
Parque Santos Dumont;2.0;1.0;0.0;0.0
Parque Sao Domingos;0.0;2.0;1.0;0.0
Parque Sao Francisco;0.0;0.0;1.0;0.0
Parque Sao Luis;0.0;2.0;0.0;2.0
Parque Sevilha;1.0;4.0;0.0;0.0
Parque São Domingos;3.0;0.0;1.0;0.0
Parque São Jorge;4.0;2.0;0.0;0.0
Parque São Lucas;1.0;3.0;0.0;0.0
Parque São Luís;0.0;3.0;0.0;0.0
Parque Tomas Saraiva;2.0;0.0;0.0;0.0
Parque Vitoria;3.0;4.0;0.0;0.0
Parque Vitória;2.0;2.0;0.0;0.0
Parque da Lapa;0.0;2.0;0.0;0.0
Parque da Mooca;23.0;12.0;0.0;8.0
Parque da Vila Prudente;7.0;2.0;0.0;1.0
Parque das Nações;10.0;3.0;0.0;0.0
Parque das Paineiras;1.0;0.0;0.0;0.0
Parque do Estado;1.0;0.0;0.0;0.0
Parque do Morumbi;2.0;0.0;0.0;0.0
Parque dos Bancários;0.0;1.0;0.0;0.0
Parque dos Principes;0.0;1.0;0.0;0.0
Paulicéia;11.0;7.0;0.0;0.0
Pedreira;2.0;2.0;0.0;0.0
Penha de França;26.0;9.0;4.0;1.0
Perdizes;76.0;9.0;0.0;26.0
Pestana;0.0;3.0;0.0;0.0
Picanço;8.0;3.0;0.0;0.0
Pinheiros;124.0;8.0;1.0;26.0
Piqueri;6.0;14.0;0.0;0.0
Piratininga;4.0;0.0;0.0;0.0
Pirituba;1.0;1.0;0.0;0.0
Planalto Paulista;14.0;24.0;2.0;7.0
Pompeia;23.0;6.0;0.0;0.0
Ponte Grande;11.0;0.0;0.0;0.0
Ponte Pequena;1.0;0.0;0.0;2.0
Portal dos Gramados;6.0;0.0;0.0;0.0
Presidente Altino;7.0;2.0;0.0;0.0
Quarta Parada;13.0;6.0;0.0;3.0
Quinta da Paineira;8.0;4.0;0.0;2.0
Quitaúna;2.0;3.0;0.0;0.0
Raposo Tavares;0.0;0.0;0.0;1.0
Real Parque;15.0;0.0;1.0;1.0
Recanto Morumbi;1.0;0.0;0.0;0.0
Recanto Paraíso;0.0;1.0;0.0;0.0
Recanto das Rosas;0.0;2.0;0.0;0.0
Republica;1.0;0.0;0.0;0.0
República;61.0;0.0;0.0;60.0
República ;0.0;0.0;0.0;1.0
Residencial Cinco (alphaville);1.0;0.0;0.0;0.0
Residencial Seis (alphaville);0.0;0.0;1.0;0.0
Residencial Tres (tambore);0.0;0.0;1.0;0.0
Retiro Morumbi;0.0;1.0;0.0;0.0
Rio Pequeno;7.0;4.0;1.0;1.0
Rolinópolis;0.0;2.0;0.0;0.0
Rudge Ramos;17.0;6.0;0.0;3.0
Sacoma;3.0;3.0;0.0;0.0
Sacomã;9.0;6.0;0.0;1.0
Santa Cecilia;21.0;0.0;0.0;11.0
Santa Cecília;34.0;0.0;0.0;11.0
Santa Efigênia;27.0;0.0;0.0;16.0
Santa Ifigênia;11.0;0.0;0.0;10.0
Santa Inês ;1.0;0.0;0.0;0.0
Santa Maria;13.0;6.0;2.0;0.0
Santa Paula;9.0;0.0;0.0;2.0
Santa Rita;0.0;1.0;0.0;0.0
Santa Teresinha;18.0;8.0;0.0;0.0
Santa Terezinha;0.0;1.0;0.0;0.0
Santana;112.0;17.0;4.0;19.0
Santo Amaro;106.0;22.0;3.0;15.0
Santo Antônio;5.0;5.0;0.0;0.0
Sapopemba;2.0;2.0;1.0;1.0
Saúde;14.0;11.0;1.0;3.0
Siciliano;3.0;6.0;1.0;0.0
Silveira;1.0;0.0;0.0;0.0
Socorro;9.0;2.0;0.0;1.0
Suiço;0.0;1.0;0.0;0.0
Sumarezinho;30.0;2.0;0.0;7.0
Sumaré;19.0;6.0;0.0;2.0
Super Quadra Morumbi;5.0;8.0;0.0;0.0
Suísso;1.0;0.0;0.0;0.0
São Domingos;3.0;0.0;0.0;0.0
São José;1.0;1.0;0.0;0.0
São João Climaco;3.0;1.0;0.0;0.0
São João Clímaco;0.0;1.0;0.0;0.0
São Judas;5.0;1.0;0.0;0.0
São Lucas;5.0;1.0;0.0;0.0
São Miguel Paulista;0.0;1.0;0.0;0.0
São Pedro;8.0;2.0;0.0;0.0
Sé;44.0;1.0;0.0;17.0
Sítio Morro Grande;3.0;4.0;0.0;0.0
Sítio Pinheirinho;2.0;0.0;0.0;0.0
Sítio da Figueira;6.0;1.0;0.0;0.0
Sítio do Mandaqui;7.0;6.0;0.0;0.0
Sítio do Morro;3.0;1.0;0.0;0.0
Sítio do Piqueri;0.0;1.0;0.0;0.0
Taboão;27.0;19.0;2.0;1.0
Tamboré;27.0;0.0;2.0;5.0
Tatuapé;57.0;12.0;2.0;26.0
Terceira Divisão de Interlagos;0.0;1.0;0.0;0.0
Tremembé;5.0;5.0;1.0;0.0
Tucuruvi;28.0;7.0;2.0;1.0
Umuarama;4.0;2.0;0.0;0.0
Usina Piratininga;8.0;0.0;0.0;0.0
Utinga;6.0;1.0;1.0;0.0
Varzea do Glicerio;0.0;0.0;0.0;1.0
Veleiros;1.0;1.0;0.0;0.0
Veloso;2.0;2.0;0.0;0.0
Vila Adalgisa;0.0;1.0;0.0;0.0
Vila Albano;0.0;1.0;0.0;0.0
Vila Albertina;5.0;8.0;0.0;0.0
Vila Alexandria;8.0;6.0;0.0;0.0
Vila Algusta;1.0;0.0;0.0;0.0
Vila Alianca;0.0;1.0;0.0;0.0
Vila Alice;0.0;2.0;0.0;0.0
Vila Alpina;23.0;11.0;3.0;1.0
Vila Alto de Santo André;2.0;0.0;0.0;0.0
Vila Alzira;5.0;1.0;0.0;0.0
Vila Amalia (zona Leste);0.0;1.0;0.0;0.0
Vila Amalia (zona Norte);7.0;1.0;0.0;0.0
Vila America;1.0;0.0;0.0;0.0
Vila Amália (zona Norte);3.0;2.0;0.0;0.0
Vila Amélia;8.0;0.0;0.0;0.0
Vila América;0.0;2.0;0.0;0.0
Vila Anadir;0.0;1.0;0.0;1.0
Vila Anastácio;3.0;2.0;0.0;0.0
Vila Andrade;122.0;2.0;1.0;4.0
Vila Anglo Brasileira;9.0;11.0;0.0;0.0
Vila Anhanguera;0.0;2.0;0.0;0.0
Vila Anhangüera;1.0;3.0;0.0;0.0
Vila Antonieta;5.0;4.0;0.0;0.0
Vila Antonina;5.0;0.0;0.0;0.0
Vila Antonio;1.0;0.0;0.0;0.0
Vila Antônio;1.0;1.0;0.0;0.0
Vila Antônio dos Santos;0.0;1.0;0.0;0.0
Vila Araguaia;2.0;3.0;1.0;0.0
Vila Arapua;1.0;0.0;0.0;0.0
Vila Arapuã;1.0;0.0;0.0;0.0
Vila Arcadia;0.0;2.0;0.0;0.0
Vila Arcádia;0.0;1.0;0.0;0.0
Vila Aricanduva;14.0;3.0;2.0;2.0
Vila Arriete;2.0;4.0;0.0;2.0
Vila Arruda;0.0;2.0;0.0;0.0
Vila Assunção;2.0;0.0;0.0;0.0
Vila Augusta;9.0;2.0;0.0;3.0
Vila Aurora (Zona Norte);0.0;1.0;0.0;0.0
Vila Aurora (zona Norte);4.0;6.0;2.0;0.0
Vila Azevedo;4.0;1.0;0.0;1.0
Vila Babilonia;4.0;1.0;0.0;0.0
Vila Babilônia;2.0;5.0;0.0;0.0
Vila Bancaria;0.0;1.0;0.0;0.0
Vila Bancária;3.0;0.0;0.0;0.0
Vila Bandeirantes;0.0;4.0;0.0;1.0
Vila Barbosa;4.0;0.0;0.0;1.0
Vila Barreto;1.0;0.0;0.0;0.0
Vila Barros;1.0;0.0;0.0;0.0
Vila Baruel;3.0;8.0;1.0;0.0
Vila Basileia;1.0;2.0;0.0;0.0
Vila Bastos;2.0;0.0;0.0;0.0
Vila Beatriz;0.0;2.0;1.0;0.0
Vila Bela;12.0;3.0;0.0;0.0
Vila Bela Vista (zona Norte);2.0;0.0;0.0;0.0
Vila Bertioga;25.0;15.0;0.0;3.0
Vila Bertioga ;0.0;0.0;0.0;1.0
Vila Boa Vista;4.0;0.0;0.0;0.0
Vila Boacava;0.0;1.0;4.0;0.0
Vila Bonilha;1.0;2.0;0.0;0.0
Vila Bonilha Nova;0.0;1.0;0.0;0.0
Vila Brasil;0.0;2.0;0.0;0.0
Vila Brasilandia;1.0;1.0;0.0;0.0
Vila Brasilina;1.0;8.0;1.0;1.0
Vila Brasilio Machado;1.0;0.0;0.0;1.0
Vila Brasilândia;1.0;1.0;0.0;0.0
Vila Brasílio Machado;4.0;1.0;1.0;0.0
Vila Bremen;4.0;0.0;0.0;0.0
Vila Bruna;2.0;2.0;0.0;0.0
Vila Buarque;50.0;0.0;0.0;40.0
Vila Buenos Aires;3.0;8.0;2.0;0.0
Vila Butantã;12.0;2.0;0.0;5.0
Vila Cachoeira;3.0;1.0;0.0;0.0
Vila California;1.0;4.0;0.0;1.0
Vila California(zona Sul);0.0;1.0;0.0;0.0
Vila Califórnia;3.0;2.0;0.0;1.0
Vila Califórnia(zona Sul);0.0;1.0;0.0;0.0
Vila Camilopolis;1.0;1.0;0.0;0.0
Vila Camilópolis;2.0;2.0;0.0;0.0
Vila Caminho do Mar;0.0;1.0;0.0;0.0
Vila Campanela;1.0;1.0;0.0;9.0
Vila Campesina;1.0;4.0;0.0;0.0
Vila Campestre;4.0;11.0;1.0;1.0
Vila Campo Grande;3.0;7.0;0.0;0.0
Vila Canero;2.0;1.0;0.0;3.0
Vila Capitao Rabelo;1.0;0.0;0.0;0.0
Vila Caraguata;1.0;0.0;0.0;0.0
Vila Caraguatá;2.0;1.0;0.0;0.0
Vila Carbone;1.0;3.0;0.0;1.0
Vila Cardoso Franco;1.0;1.0;0.0;0.0
Vila Carlos de Campos;0.0;1.0;0.0;0.0
Vila Carmem;0.0;1.0;0.0;1.0
Vila Carmosina;2.0;6.0;1.0;0.0
Vila Carolina;0.0;3.0;0.0;0.0
Vila Carrao;5.0;6.0;1.0;2.0
Vila Carrão;12.0;8.0;0.0;0.0
Vila Castelo;2.0;0.0;0.0;0.0
Vila Catupia;0.0;1.0;0.0;0.0
Vila Cavaton;0.0;3.0;0.0;0.0
Vila Celeste;6.0;7.0;0.0;0.0
Vila Centenário;1.0;2.0;0.0;0.0
Vila Clarice;1.0;1.0;0.0;0.0
Vila Clementino;45.0;9.0;0.0;25.0
Vila Clementino ;0.0;0.0;0.0;1.0
Vila Cleonice;0.0;2.0;0.0;3.0
Vila Cláudia;3.0;1.0;0.0;0.0
Vila Comercial;1.0;0.0;0.0;0.0
Vila Conceição;0.0;1.0;0.0;0.0
Vila Congonhas;17.0;15.0;0.0;1.0
Vila Constanca;1.0;0.0;0.0;0.0
Vila Constancia;5.0;2.0;0.0;0.0
Vila Constança;14.0;5.0;3.0;0.0
Vila Continental;0.0;2.0;0.0;0.0
Vila Cordeiro;5.0;4.0;0.0;1.0
Vila Cosmopolita;2.0;1.0;0.0;0.0
Vila Costa Melo;1.0;0.0;0.0;0.0
Vila Cristalia;1.0;0.0;0.0;0.0
Vila Cristália;2.0;1.0;0.0;0.0
Vila Cruz das Almas;1.0;5.0;0.0;0.0
Vila Cruzeiro;11.0;4.0;0.0;3.0
Vila Curuca;2.0;1.0;0.0;0.0
Vila Curuçá;2.0;2.0;0.0;0.0
Vila Dalila;10.0;3.0;0.0;0.0
Vila Dalva;0.0;1.0;0.0;0.0
Vila Deodoro;3.0;0.0;0.0;0.0
Vila Dinorah;0.0;3.0;0.0;0.0
Vila Dionisia;0.0;2.0;0.0;0.0
Vila Diva;0.0;1.0;0.0;0.0
Vila Diva (zona Leste);5.0;3.0;0.0;0.0
Vila Diva (zona Norte);3.0;0.0;0.0;0.0
Vila Divina Pastora;1.0;0.0;0.0;0.0
Vila Dom Pedro I;11.0;6.0;1.0;3.0
Vila Dom Pedro Ii;10.0;6.0;0.0;1.0
Vila Domitila;0.0;3.0;0.0;0.0
Vila Dora;1.0;0.0;0.0;0.0
Vila Ede;1.0;4.0;0.0;0.0
Vila Eldízia;1.0;1.0;0.0;0.0
Vila Elvira;0.0;1.0;1.0;0.0
Vila Elze;0.0;3.0;0.0;0.0
Vila Ema;26.0;7.0;1.0;2.0
Vila Emir;3.0;1.0;0.0;1.0
Vila Endres;5.0;1.0;0.0;0.0
Vila Engenho Novo;0.0;2.0;0.0;0.0
Vila Erna;0.0;1.0;0.0;0.0
Vila Ernesto;0.0;0.0;0.0;3.0
Vila Esperança;13.0;3.0;2.0;5.0
Vila Esplanada;0.0;1.0;0.0;0.0
Vila Ester;0.0;1.0;0.0;0.0
Vila Ester (zona Norte);4.0;3.0;0.0;0.0
Vila Euthalia;0.0;3.0;1.0;0.0
Vila Fachini;3.0;4.0;0.0;0.0
Vila Fernandes;1.0;0.0;0.0;0.0
Vila Fiat Lux;0.0;2.0;0.0;0.0
Vila Fidalgo;0.0;1.0;0.0;0.0
Vila Fidelis Ribeiro;0.0;1.0;0.0;0.0
Vila Firmiano Pinto;8.0;3.0;0.0;0.0
Vila Fiuza;0.0;1.0;0.0;0.0
Vila Floresta;2.0;0.0;1.0;0.0
Vila Flórida;1.0;0.0;0.0;0.0
Vila Formosa;29.0;26.0;3.0;6.0
Vila Franci;0.0;1.0;0.0;0.0
Vila Francisco Matarazzo;1.0;1.0;0.0;0.0
Vila Friburgo;0.0;3.0;0.0;0.0
Vila Fátima;0.0;1.0;1.0;0.0
Vila Gabriel;0.0;1.0;0.0;0.0
Vila Galvão;8.0;2.0;0.0;0.0
Vila Gea;1.0;1.0;0.0;0.0
Vila Germinal;0.0;1.0;1.0;0.0
Vila Gertrudes;9.0;1.0;0.0;0.0
Vila Gilda;2.0;2.0;0.0;0.0
Vila Gomes;4.0;3.0;0.0;4.0
Vila Gomes Cardim;22.0;1.0;0.0;2.0
Vila Gopouva;1.0;0.0;0.0;0.0
Vila Graciosa;1.0;3.0;0.0;2.0
Vila Granada;9.0;0.0;0.0;0.0
Vila Granada ;0.0;1.0;0.0;0.0
Vila Guaca;0.0;3.0;2.0;0.0
Vila Guarani;9.0;3.0;0.0;0.0
Vila Guarani (Zona Sul);1.0;0.0;0.0;0.0
Vila Guarani (z Sul);30.0;1.0;1.0;1.0
Vila Guarani (zona Sul);6.0;4.0;0.0;1.0
Vila Guarani(zona Leste);0.0;1.0;0.0;1.0
Vila Guedes;0.0;1.0;0.0;0.0
Vila Guilherme;26.0;10.0;1.0;3.0
Vila Guilhermina;17.0;4.0;1.0;0.0
Vila Guiomar;4.0;1.0;0.0;0.0
Vila Gumercindo;18.0;7.0;0.0;1.0
Vila Gustavo;11.0;10.0;0.0;0.0
Vila Hamburguesa;0.0;1.0;0.0;0.0
Vila Harmonia;1.0;0.0;0.0;0.0
Vila Hebe;1.0;1.0;0.0;2.0
Vila Helena;2.0;0.0;0.0;0.0
Vila Hermínia;0.0;1.0;0.0;0.0
Vila Hulda;2.0;0.0;0.0;0.0
Vila Humaitá;3.0;0.0;0.0;0.0
Vila Inah;0.0;4.0;0.0;0.0
Vila Independencia;3.0;1.0;0.0;1.0
Vila Independência;2.0;0.0;0.0;0.0
Vila Indiana;6.0;0.0;0.0;1.0
Vila Industrial;2.0;3.0;0.0;0.0
Vila Inglesa;4.0;1.0;0.0;0.0
Vila Invernada;13.0;13.0;1.0;1.0
Vila Ipojuca;15.0;5.0;1.0;1.0
Vila Irmaos Arnoni;0.0;0.0;1.0;0.0
Vila Irmãos Arnoni;0.0;0.0;1.0;0.0
Vila Isa;3.0;0.0;0.0;0.0
Vila Isolina Mazzei;10.0;12.0;7.0;0.0
Vila Ivone;5.0;1.0;0.0;0.0
Vila Iório;0.0;3.0;0.0;0.0
Vila Jacuí;0.0;3.0;0.0;0.0
Vila Jaguara;1.0;2.0;0.0;0.0
Vila Lageado;3.0;4.0;0.0;0.0
Vila Lais;1.0;0.0;0.0;0.0
Vila Laís;1.0;2.0;1.0;0.0
Vila Leonor;3.0;2.0;0.0;0.0
Vila Leopoldina;25.0;7.0;0.0;2.0
Vila Libanesa;0.0;5.0;2.0;0.0
Vila Liviero;1.0;1.0;0.0;0.0
Vila Londrina;0.0;2.0;0.0;0.0
Vila Lucia;2.0;0.0;0.0;0.0
Vila Lucia Elvira;1.0;0.0;0.0;0.0
Vila Lucinda;1.0;0.0;0.0;0.0
Vila Lúcia;3.0;0.0;1.0;0.0
Vila Lúcia Elvira;1.0;0.0;0.0;0.0
Vila Madalena;25.0;3.0;2.0;2.0
Vila Mafra;2.0;3.0;0.0;0.0
Vila Mangalot;5.0;2.0;0.0;0.0
Vila Maracanã;1.0;0.0;0.0;0.0
Vila Marari;2.0;8.0;0.0;2.0
Vila Margarida;2.0;0.0;0.0;0.0
Vila Maria;5.0;4.0;0.0;0.0
Vila Maria Alta;9.0;12.0;1.0;0.0
Vila Maria Baixa;3.0;1.0;0.0;0.0
Vila Maria Trindade;0.0;0.0;0.0;1.0
Vila Maria Zélia;0.0;1.0;0.0;0.0
Vila Mariana;149.0;31.0;1.0;51.0
Vila Maricy;1.0;0.0;0.0;0.0
Vila Marieta;1.0;2.0;0.0;3.0
Vila Marina;3.0;6.0;0.0;1.0
Vila Mariza Mazzei;0.0;2.0;0.0;0.0
Vila Marte;1.0;0.0;0.0;1.0
Vila Mascote;37.0;4.0;0.0;1.0
Vila Matiilde;1.0;0.0;0.0;0.0
Vila Matilde;28.0;6.0;1.0;0.0
Vila Mazzei;15.0;8.0;3.0;3.0
Vila Medeiros;10.0;14.0;0.0;1.0
Vila Mendes;1.0;0.0;0.0;0.0
Vila Mercedes;0.0;1.0;0.0;0.0
Vila Mesquita;1.0;2.0;0.0;0.0
Vila Metalurgica;2.0;0.0;0.0;0.0
Vila Metalúrgica;1.0;0.0;0.0;0.0
Vila Milton;3.0;0.0;0.0;0.0
Vila Mira;7.0;0.0;0.0;2.0
Vila Miriam;2.0;4.0;0.0;0.0
Vila Moinho Velho;7.0;6.0;1.0;1.0
Vila Monte Alegre;19.0;1.0;0.0;1.0
Vila Monumento;11.0;8.0;1.0;2.0
Vila Moraes;5.0;8.0;2.0;0.0
Vila Moreira;7.0;1.0;0.0;1.0
Vila Morellato;0.0;1.0;0.0;0.0
Vila Morse;2.0;10.0;0.0;1.0
Vila Morumbi;3.0;0.0;0.0;0.0
Vila N Sra de Fatima;0.0;1.0;0.0;0.0
Vila Nair;1.0;3.0;0.0;0.0
Vila Nancy;1.0;0.0;0.0;0.0
Vila Natalia;0.0;1.0;0.0;0.0
Vila Natália;1.0;1.0;0.0;0.0
Vila Nelson;0.0;1.0;0.0;0.0
Vila Nhocune;0.0;1.0;0.0;0.0
Vila Nilo;1.0;3.0;0.0;0.0
Vila Nivi;1.0;5.0;2.0;0.0
Vila Nogueira;1.0;0.0;0.0;0.0
Vila Nossa Senhora de Fátima;1.0;0.0;0.0;0.0
Vila Nova;0.0;0.0;1.0;0.0
Vila Nova Alba;1.0;0.0;0.0;0.0
Vila Nova Cachoeirinha;11.0;7.0;0.0;2.0
Vila Nova Caledonia;1.0;1.0;2.0;0.0
Vila Nova Caledônia;2.0;3.0;0.0;0.0
Vila Nova Carolina;1.0;1.0;0.0;1.0
Vila Nova Conceição;68.0;2.0;0.0;7.0
Vila Nova Curuçá;2.0;1.0;0.0;0.0
Vila Nova Esperança;0.0;2.0;0.0;0.0
Vila Nova Manchester;2.0;0.0;0.0;0.0
Vila Nova Mazzei;7.0;12.0;1.0;0.0
Vila Nova Pauliceia;0.0;1.0;0.0;0.0
Vila Nova Santa Luzia;1.0;0.0;0.0;0.0
Vila Nova Savoia;2.0;2.0;1.0;0.0
Vila Nova York;9.0;0.0;0.0;2.0
Vila Nova das Belezas;1.0;2.0;0.0;0.0
Vila Olinda;0.0;3.0;0.0;0.0
Vila Olímpia;62.0;4.0;0.0;21.0
Vila Olímpia ;1.0;0.0;0.0;0.0
Vila Oratorio;0.0;2.0;0.0;0.0
Vila Oratório;4.0;2.0;0.0;0.0
Vila Osasco;7.0;3.0;0.0;0.0
Vila Paiva;4.0;1.0;0.0;0.0
Vila Palmares;3.0;3.0;0.0;0.0
Vila Palmeiras;7.0;15.0;1.0;2.0
Vila Paranagua;5.0;0.0;0.0;0.0
Vila Paranaguá;0.0;1.0;0.0;0.0
Vila Parapuã;1.0;0.0;0.0;0.0
Vila Parque Jabaquara;25.0;5.0;0.0;0.0
Vila Pauliceia;1.0;2.0;0.0;0.0
Vila Paulicéia;4.0;6.0;0.0;0.0
Vila Paulista;19.0;9.0;0.0;0.0
Vila Paulistania;1.0;2.0;0.0;0.0
Vila Paulo Silas;1.0;7.0;0.0;0.0
Vila Pedra Branca;0.0;3.0;0.0;0.0
Vila Pedro Moreira;2.0;0.0;0.0;0.0
Vila Penteado;7.0;8.0;0.0;0.0
Vila Pereira Barreto;8.0;5.0;1.0;0.0
Vila Pereira Cerca;2.0;7.0;0.0;0.0
Vila Picinin;0.0;2.0;0.0;0.0
Vila Pierina;3.0;1.0;1.0;0.0
Vila Pirajussara;0.0;0.0;0.0;3.0
Vila Pires;4.0;1.0;0.0;0.0
Vila Pirituba;5.0;6.0;0.0;0.0
Vila Pita;2.0;0.0;0.0;0.0
Vila Plana;1.0;0.0;0.0;0.0
Vila Planalto;1.0;0.0;0.0;0.0
Vila Polopoli;2.0;1.0;0.0;0.0
Vila Pompéia;30.0;5.0;0.0;1.0
Vila Portugal;4.0;0.0;0.0;0.0
Vila Portuguesa;3.0;4.0;1.0;0.0
Vila Pouso Alegre;1.0;0.0;0.0;0.0
Vila Prado;0.0;1.0;0.0;0.0
Vila Praia;1.0;1.0;0.0;0.0
Vila Prel;0.0;1.0;0.0;0.0
Vila Primavera;2.0;4.0;0.0;0.0
Vila Princesa Isabel;0.0;2.0;0.0;0.0
Vila Principe de Gales;4.0;0.0;0.0;0.0
Vila Progredior;12.0;1.0;0.0;0.0
Vila Progresso;1.0;1.0;0.0;0.0
Vila Progresso (zona Norte);0.0;1.0;0.0;0.0
Vila Prudente;47.0;41.0;0.0;8.0
Vila Príncipe de Gales;3.0;0.0;0.0;0.0
